datetime,symbol,open,high,low,close,volume
2024-08-15 21:21:00,CME_MINI:NQ1!,19630.75,19634.25,19625.5,19628.75,57.0
2024-08-15 21:22:00,CME_MINI:NQ1!,19627.75,19627.75,19620.75,19625.5,93.0
2024-08-15 21:23:00,CME_MINI:NQ1!,19625.0,19632.0,19624.5,19628.5,89.0
2024-08-15 21:24:00,CME_MINI:NQ1!,19628.5,19632.25,19627.25,19631.75,39.0
2024-08-15 21:25:00,CME_MINI:NQ1!,19631.0,19634.0,19627.0,19631.0,100.0
2024-08-15 21:26:00,CME_MINI:NQ1!,19632.75,19636.0,19628.25,19633.75,166.0
2024-08-15 21:27:00,CME_MINI:NQ1!,19635.0,19636.0,19629.0,19632.75,86.0
2024-08-15 21:28:00,CME_MINI:NQ1!,19631.5,19632.25,19627.0,19630.25,101.0
2024-08-15 21:29:00,CME_MINI:NQ1!,19631.0,19631.5,19627.75,19630.25,21.0
2024-08-15 21:30:00,CME_MINI:NQ1!,19630.75,19631.25,19627.0,19627.25,59.0
2024-08-15 21:31:00,CME_MINI:NQ1!,19627.75,19629.0,19627.5,19628.75,17.0
2024-08-15 21:32:00,CME_MINI:NQ1!,19628.0,19629.25,19626.5,19627.75,19.0
2024-08-15 21:33:00,CME_MINI:NQ1!,19627.75,19627.75,19622.5,19622.5,33.0
2024-08-15 21:34:00,CME_MINI:NQ1!,19624.0,19626.0,19624.0,19625.25,15.0
2024-08-15 21:35:00,CME_MINI:NQ1!,19625.0,19629.0,19624.0,19628.25,26.0
2024-08-15 21:36:00,CME_MINI:NQ1!,19629.5,19631.25,19629.0,19631.25,23.0
2024-08-15 21:37:00,CME_MINI:NQ1!,19631.0,19631.0,19627.0,19628.0,27.0
2024-08-15 21:38:00,CME_MINI:NQ1!,19628.75,19629.5,19628.25,19628.75,9.0
2024-08-15 21:39:00,CME_MINI:NQ1!,19629.75,19629.75,19628.5,19629.75,8.0
2024-08-15 21:40:00,CME_MINI:NQ1!,19629.5,19629.5,19626.5,19628.0,17.0
2024-08-15 21:41:00,CME_MINI:NQ1!,19629.0,19629.0,19627.5,19628.5,6.0
2024-08-15 21:42:00,CME_MINI:NQ1!,19629.0,19629.0,19626.75,19628.5,13.0
2024-08-15 21:43:00,CME_MINI:NQ1!,19629.0,19630.0,19627.75,19629.0,9.0
2024-08-15 21:44:00,CME_MINI:NQ1!,19631.0,19631.75,19629.5,19630.0,10.0
2024-08-15 21:45:00,CME_MINI:NQ1!,19630.75,19631.0,19628.75,19630.25,11.0
2024-08-15 21:46:00,CME_MINI:NQ1!,19629.0,19629.75,19628.25,19629.0,12.0
2024-08-15 21:47:00,CME_MINI:NQ1!,19628.5,19629.0,19628.0,19628.5,17.0
2024-08-15 21:48:00,CME_MINI:NQ1!,19629.0,19630.5,19628.0,19629.0,17.0
2024-08-15 21:49:00,CME_MINI:NQ1!,19629.0,19630.5,19628.75,19629.5,7.0
2024-08-15 21:50:00,CME_MINI:NQ1!,19629.0,19629.75,19627.25,19628.75,28.0
2024-08-15 21:51:00,CME_MINI:NQ1!,19628.25,19628.25,19624.25,19625.75,33.0
2024-08-15 21:52:00,CME_MINI:NQ1!,19626.25,19627.0,19624.5,19625.0,17.0
2024-08-15 21:53:00,CME_MINI:NQ1!,19626.0,19627.5,19624.25,19627.5,10.0
2024-08-15 21:54:00,CME_MINI:NQ1!,19626.75,19626.75,19625.0,19625.0,17.0
2024-08-15 21:55:00,CME_MINI:NQ1!,19624.0,19626.75,19623.25,19623.5,40.0
2024-08-15 21:56:00,CME_MINI:NQ1!,19623.5,19625.25,19622.75,19624.0,18.0
2024-08-15 21:57:00,CME_MINI:NQ1!,19624.25,19624.5,19622.25,19624.25,15.0
2024-08-15 21:58:00,CME_MINI:NQ1!,19624.25,19628.5,19624.25,19626.5,35.0
2024-08-15 21:59:00,CME_MINI:NQ1!,19627.5,19627.75,19625.75,19627.75,11.0
2024-08-15 22:00:00,CME_MINI:NQ1!,19627.25,19627.25,19626.0,19627.25,12.0
2024-08-15 22:01:00,CME_MINI:NQ1!,19627.0,19627.0,19624.5,19625.5,11.0
2024-08-15 22:02:00,CME_MINI:NQ1!,19626.0,19627.25,19626.0,19626.5,9.0
2024-08-15 22:03:00,CME_MINI:NQ1!,19627.5,19629.0,19626.75,19627.25,29.0
2024-08-15 22:04:00,CME_MINI:NQ1!,19629.0,19629.25,19625.25,19626.25,15.0
2024-08-15 22:05:00,CME_MINI:NQ1!,19626.5,19628.75,19623.75,19627.25,31.0
2024-08-15 22:06:00,CME_MINI:NQ1!,19627.0,19630.0,19627.0,19630.0,24.0
2024-08-15 22:07:00,CME_MINI:NQ1!,19629.25,19631.5,19627.5,19627.5,41.0
2024-08-15 22:08:00,CME_MINI:NQ1!,19628.75,19629.0,19626.75,19627.75,31.0
2024-08-15 22:09:00,CME_MINI:NQ1!,19628.25,19628.5,19624.75,19625.75,19.0
2024-08-15 22:10:00,CME_MINI:NQ1!,19625.25,19629.5,19624.75,19629.5,18.0
2024-08-15 22:11:00,CME_MINI:NQ1!,19629.75,19630.0,19626.25,19629.25,19.0
2024-08-15 22:12:00,CME_MINI:NQ1!,19627.75,19629.5,19627.75,19629.5,6.0
2024-08-15 22:13:00,CME_MINI:NQ1!,19628.0,19629.75,19625.25,19626.5,39.0
2024-08-15 22:14:00,CME_MINI:NQ1!,19626.0,19626.0,19621.0,19621.0,60.0
2024-08-15 22:15:00,CME_MINI:NQ1!,19621.25,19624.75,19619.0,19623.75,109.0
2024-08-15 22:16:00,CME_MINI:NQ1!,19623.75,19624.75,19623.75,19624.75,3.0
2024-08-15 22:17:00,CME_MINI:NQ1!,19625.0,19628.5,19625.0,19625.5,47.0
2024-08-15 22:18:00,CME_MINI:NQ1!,19626.75,19627.0,19625.75,19625.75,8.0
2024-08-15 22:19:00,CME_MINI:NQ1!,19626.75,19627.75,19626.75,19627.75,13.0
2024-08-15 22:20:00,CME_MINI:NQ1!,19627.25,19628.0,19625.25,19625.25,37.0
2024-08-15 22:21:00,CME_MINI:NQ1!,19624.5,19625.5,19622.75,19624.0,17.0
2024-08-15 22:22:00,CME_MINI:NQ1!,19623.5,19624.5,19623.5,19623.5,16.0
2024-08-15 22:23:00,CME_MINI:NQ1!,19624.25,19624.25,19622.75,19622.75,8.0
2024-08-15 22:24:00,CME_MINI:NQ1!,19622.0,19628.0,19621.25,19623.5,76.0
2024-08-15 22:25:00,CME_MINI:NQ1!,19622.75,19626.0,19622.75,19623.5,12.0
2024-08-15 22:26:00,CME_MINI:NQ1!,19622.0,19623.75,19619.25,19623.25,60.0
2024-08-15 22:27:00,CME_MINI:NQ1!,19623.25,19631.25,19623.25,19630.75,154.0
2024-08-15 22:28:00,CME_MINI:NQ1!,19630.0,19636.5,19629.5,19630.25,90.0
2024-08-15 22:29:00,CME_MINI:NQ1!,19630.0,19634.0,19630.0,19632.0,43.0
2024-08-15 22:30:00,CME_MINI:NQ1!,19632.25,19634.0,19632.0,19633.75,34.0
2024-08-15 22:31:00,CME_MINI:NQ1!,19634.5,19637.75,19634.0,19637.0,70.0
2024-08-15 22:32:00,CME_MINI:NQ1!,19636.5,19640.75,19635.5,19639.0,120.0
2024-08-15 22:33:00,CME_MINI:NQ1!,19638.25,19642.75,19638.25,19642.0,59.0
2024-08-15 22:34:00,CME_MINI:NQ1!,19641.25,19642.5,19635.75,19636.75,44.0
2024-08-15 22:35:00,CME_MINI:NQ1!,19635.25,19640.0,19634.25,19639.5,61.0
2024-08-15 22:36:00,CME_MINI:NQ1!,19639.5,19639.5,19636.5,19638.0,41.0
2024-08-15 22:37:00,CME_MINI:NQ1!,19638.0,19639.0,19637.0,19638.25,12.0
